BINARY POLYHEDRAL GROUPS ATLAS
================================================================================
Verified via Conway & Smith (2003) generator theorem.
Four synthesis strategies (2×2 grid):
  BFS SU(2):      min depth, exact SU(2) match.
  Dijkstra SU(2): min magic cost then depth, exact SU(2) match.
  BFS PU(2):      min depth, matching up to global phase.
  Dijkstra PU(2): min magic cost then depth, matching up to global phase.
Phase φ: a word read in the standard gates equals φ · U_q, the row's unitary, with ω = e^(iπ/4) a primitive 8th root of unity.

CONVENTIONS:
Gate sequences are in operator order (left to right): F X means F · X.
In circuit notation this corresponds to applying X first, then F.
F = HS† is included as a named generator for uniformity across the three groups.
For 2O, it is algebraically redundant with H and S.

NOTE ON SU(2) REPRESENTATION:
Each standard gate G is symmetrized as G_SU(2) = phase · G_U(2) to ensure det = 1.
The dagger (†) denotes the algebraic inverse in this SU(2) representation.
For Hermitian gates (X, Z, H): G† physically means applying G with a global -1 phase.

NOTE ON THE φ COLUMNS:
φ belongs to a word, not to an element: it collects the symmetrization scalars above and
the ± recording which member of the pair the word landed on.
Both φ columns here are the PU(2) words' -- the columns they sit in. One PU(2) word serves
both rows of a pair (the b-row's word cell is a ditto mark), so its φ reads φ on the a-row
and -φ on the b-row, on all 96 pairs.
atlas.tex prints the SU(2) min-magic words' phases instead: same definition, different word, so the
two files disagree on the b-rows of the 12 pairs (min magic) whose own two SU(2) words are not
one U(2) operator -- and would on 19 pairs under min depth, a block atlas.tex does not print:
this file is the home of the min-depth SU(2) words (Appendix A reprints one 2I pair).
Use the φ printed beside the word you actually run.

Rows are grouped in antipodal pairs (q, -q) to show the SU(2) double cover, the BFS-shallower member as the a-row.
The PU(2) word is printed once per pair (the b-row shows a ditto mark): both elements are one PU(2) element, i.e. one SO(3) rotation.
Pairs are ordered by magic cost, then depth, then the word -- the order of atlas.tex.

NOTE ON DIJKSTRA vs BFS:
For 2I, Dijkstra may prefer longer Clifford-heavy sequences over shorter ones
containing multiple Φ gates, reflecting the high cost of non-Clifford resources
in fault-tolerant quantum computing.


##################################################################################################################################################################################################################################################################################################
GROUP: Binary Tetrahedral Group 2T (Order 24, 12 antipodal pairs)
##################################################################################################################################################################################################################################################################################################
Idx  | BFS SU(2)                 | Dep | Dij SU(2)                 | Mag | Dep | BFS PU(2)                 | Dep | φ      | Dij PU(2)                 | Mag | Dep | φ      | Quaternion                                         | Unitary
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1  a | I                         | 0   | I                         | 0   | 0   | I                         | 0   | 1      | I                         | 0   | 0   | 1      | [1, 0, 0, 0]                                       | [[1, 0], [0, 1]]
1  b | X X                       | 2   | X X                       | 0   | 2   | "                         | "   | -1     | "                         | "   | "   | -1     | [-1, 0, 0, 0]                                      | [[-1, 0], [0, -1]]

2  a | F                         | 1   | F                         | 0   | 1   | F                         | 1   | ω      | F                         | 0   | 1   | ω      | [1/2, -1/2, -1/2, -1/2]                            | [[1/2-i/2, -1/2-i/2], [1/2-i/2, 1/2+i/2]]
2  b | F† F†                     | 2   | F† F†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, 1/2, 1/2, 1/2]                              | [[-1/2+i/2, 1/2+i/2], [-1/2+i/2, -1/2-i/2]]

3  a | F†                        | 1   | F†                        | 0   | 1   | F†                        | 1   | ω^-1   | F†                        | 0   | 1   | ω^-1   | [1/2, 1/2, 1/2, 1/2]                               | [[1/2+i/2, 1/2+i/2], [-1/2+i/2, 1/2-i/2]]
3  b | F F                       | 2   | F F                       | 0   | 2   | "                         | "   | ω^3    | "                         | "   | "   | ω^3    | [-1/2, -1/2, -1/2, -1/2]                           | [[-1/2-i/2, -1/2-i/2], [1/2-i/2, -1/2+i/2]]

4  a | X                         | 1   | X                         | 0   | 1   | X                         | 1   | ω^2    | X                         | 0   | 1   | ω^2    | [0, 0, 0, -1]                                      | [[0, -i], [-i, 0]]
4  b | X†                        | 1   | X†                        | 0   | 1   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [0, 0, 0, 1]                                       | [[0, i], [i, 0]]

5  a | Z                         | 1   | Z                         | 0   | 1   | Z                         | 1   | ω^2    | Z                         | 0   | 1   | ω^2    | [0, -1, 0, 0]                                      | [[-i, 0], [0, i]]
5  b | Z†                        | 1   | Z†                        | 0   | 1   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [0, 1, 0, 0]                                       | [[i, 0], [0, -i]]

6  a | F X                       | 2   | F X                       | 0   | 2   | F X                       | 2   | ω^3    | F X                       | 0   | 2   | ω^3    | [-1/2, 1/2, -1/2, -1/2]                            | [[-1/2+i/2, -1/2-i/2], [1/2-i/2, -1/2-i/2]]
6  b | F X†                      | 2   | F X†                      | 0   | 2   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [1/2, -1/2, 1/2, 1/2]                              | [[1/2-i/2, 1/2+i/2], [-1/2+i/2, 1/2+i/2]]

